"","time","title"
"1",2021-09-01,"olsam raises 165 million to snap up small amazon merchants"
"2",2021-08-30,"affirm stock rockets as amazon bnpl deal may tell a bigger story"
"3",2021-08-30,"affirm stock soars 40 on deal to offer buy now pay later service on amazon"
"4",2021-08-30,"affirm shares pop after striking buynowpaylater deal with amazon"
"5",2021-08-30,"affirm shares soar after amazon partnership for buy now, pay later purchases"
"6",2021-08-30,"mondays biggest analyst calls zoom, peloton, walmart, amazon, generac more"
"7",2021-08-30,"here are mondays biggest analyst calls of the day zoom, peloton, walmart, amazon, generac more"
"8",2021-08-30,"boroden heres how to approach amazon, apple and nvidia based on their charts"
"9",2021-08-30,"affirm holdings stock soars after buy now, pay later deal with amazon"
"10",2021-08-30,"amazon asks sebi to comply with sc order related to futureril deal"
"11",2021-08-30,"the latest ipad air is 100 off at best buy and amazon"
"12",2021-08-30,"samsung galaxy a52s 5g price in india leaked via amazon listing ahead of launch report"
"13",2021-08-29,"amazons biggest, hardesttosolve esg issue may be its own workers"
"14",2021-08-28,"affirm stock skyrockets 40 on news amazon to partner with buy now, pay later fintech company"
"15",2021-08-28,"the mysterious chinese fashion app thats as popular as amazon"
"16",2021-08-28,"indias future files new case against amazon in top court over 34 bln retail deal"
"17",2021-08-28,"sennheisers hd450se noisecanceling headphones now work with amazon alexa"
"18",2021-08-28,"future files new case against amazon in sc over 34bn retail deal"
"19",2021-08-28,"future files new case against amazon in top court over 34 billion retail deal"
"20",2021-08-28,"reliancefuture deal new case filed against amazon in supreme court"
"21",2021-08-28,"affirm stock skyrockets 40 on news amazon to partner with payovertime fintech company"
"22",2021-08-28,"affirm shares soar on news of amazon partnership"
"23",2021-08-28,"affirm shares soar on news of amazon partnership for buy now, pay later"
"24",2021-08-28,"amazons departmentstore plans are less surprising than they appear"
"25",2021-08-28,"rivian, electric truck maker backed by amazon and ford, files for ipo"
"26",2021-08-28,"amazon strikes a deal with affirm, the buynow paylater provider"
"27",2021-08-28,"amazon partners with affirm to roll out buy now pay later service for us customers"
"28",2021-08-28,"amazonbacked electric vehicle maker rivian files for ipo"
"29",2021-08-27,"update 1affirm, amazon partner to enable payovertime feature"
"30",2021-08-27,"affirm stock skyrockets 30 on news amazon to partner with buy now, pay later fintech company1 min read"
"31",2021-08-27,"affirm stock skyrockets 30 on news amazon to partner with buy now, pay later fintech company"
"32",2021-08-27,"affirm shares soar more than 40 on news of amazon partnership for buy now, pay later"
"33",2021-08-27,"affirm shares soar more than 40 on news of amazon partnership"
"34",2021-08-27,"amazonbacked electricvehicle maker rivian files to go public"
"35",2021-08-27,"amazonbacked rivian automotive confirms filing draft ipo plans"
"36",2021-08-27,"rivian, an electric truck maker backed by amazon and ford, files for an ipo"
"37",2021-08-27,"razer gaming mice, headsets, and more are discounted at amazon"
"38",2021-08-27,"elon musk thinks heres why jeff bezos retired as amazon ceo"
"39",2021-08-27,"amazon scores major win in battle for indias retail market"
"40",2021-08-26,"former teacher becomes russias richest woman with russian version of amazon"
"41",2021-08-26,"former amazon exec who was once bezos shadow joins online events startup hopin"
"42",2021-08-26,"former amazon executive who was once jeff bezos shadow joins online events startup hopin"
"43",2021-08-26,"microsoft hires former top amazon cloud executive, adding to rivalry"
"44",2021-08-26,"microsoft hires former amazon cloud exec charlie bell"
"45",2021-08-26,"microsoft hires former amazon cloud executive charlie bell"
"46",2021-08-25,"amazons new world mmo is getting an open beta on september 9th"
"47",2021-08-25,"wednesday newspaper roundup just eat, energy suppliers, amazon"
"48",2021-08-25,"cramer says the turnaround of best buy proves amazons death star days are over"
"49",2021-08-25,"jim cramer breaks down best buys latest quarter, says it helped change his view on amazon"
"50",2021-08-25,"jim cramer the days of amazon as death star are over"
"51",2021-08-25,"oneplus nord 2 getting new green woods colour variant, to go on sale on august 26 via amazon"
"52",2021-08-25,"amazon echo show 8 2nd gen with upgraded camera, autoframing launched in india"
"53",2021-08-24,"amazon india app showing this glitch for some iphone users"
"54",2021-08-24,"amazon app users on ios facing issues while ordering products, company promises a fix"
"55",2021-08-24,"samsung galaxy tab s7 fe wifi variant to launch in india soon, amazon listing confirms"
"56",2021-08-24,"ceos of apple, microsoft, amazon to meet with biden over cybersecurity report"
"57",2021-08-24,"amazon just scored a major win in the battle for indias retail market"
"58",2021-08-24,"amazon ceo andy jassy said to join executives at white house cybersecurity meeting"
"59",2021-08-20,"amazon launches website to go on offense against congress antitrust tech bills"
"60",2021-08-20,"amazon launches website to go on offensive against congress antitrust tech bills"
"61",2021-08-20,"amazon prime video now lets you change profile photo to characters from movies, series how to change"
"62",2021-08-20,"cramers mad money recap microsoft, apple, costco, amazon"
"63",2021-08-20,"end of bezos and murthys ecommerce jv may impact amazons business"
"64",2021-08-20,"prime video releases new profile images for amazon originals"
"65",2021-08-20,"google, amazon, microsoft deemed too big to fail by bank regulators causes worry"
"66",2021-08-19,"amazon plans retail locations akin to department stores"
"67",2021-08-19,"amazon expanding ambitions in physical retail stores report3 min read"
"68",2021-08-19,"amazon expanding ambitions in physical retail stores report"
"69",2021-08-19,"hong kong allows nicole kidman to skip quarantine, reportedly to film for amazon"
"70",2021-08-19,"amazon to launch more us brickandmortar stores report"
"71",2021-08-19,"indias open ecommerce may quietly close another door for amazon, flipkart"
"72",2021-08-19,"amazon reportedly plans to open department stores, starting in california and ohio"
"73",2021-08-19,"amazon warns merchants about antitrust bills in congress, says might hurt their business"
"74",2021-08-19,"whats new on amazon prime video in september 20214 min read"
"75",2021-08-19,"whats new on amazon prime video in september 2021"
"76",2021-08-19,"heres whats new to amazon prime video in september 2021"
"77",2021-08-18,"amazon enters india wealth management with bet on startup smallcase"
"78",2021-08-18,"amazon is emailing sellers to warn them about congress big tech antitrust bills"
"79",2021-08-18,"apple, amazon, exxon and the toughest carbon emissions to capture"
"80",2021-08-18,"wednesdays biggest analyst calls amazon, coinbase, nvidia, draftkings more"
"81",2021-08-18,"amazon to end sevenyearold jv with narayana murthys catamaran"
"82",2021-08-18,"amazon alexa delights 75yearold when it responds to request to recite the rosary"
"83",2021-08-17,"us retail sales slump 11 due to shortage of cars and amazon prime hangover"
"84",2021-08-17,"redfin cofounder and amazon veteran david selingers 6 lessons for success"
"85",2021-08-17,"amazon removed hub lockers from two chicago parks after public outcry"
"86",2021-08-16,"coatue snaps up roblox, uipath in second quarter, buys more amazon, doordash"
"87",2021-08-16,"coatue takes stakes in roblox and uipath in the second quarter, doubles down on amazon and doordash"
"88",2021-08-16,"amazons latest fire hd 10 tablets with improved specs are 50 off"
"89",2021-08-16,"amazon launches rakhi store ahead of raksha bandhan 2021 deals on phones, speakers, more"
"90",2021-08-16,"the mysterious chinese fashion app thats as popular as amazon"
"91",2021-08-16,"amazon mobile savings days sale begins up to rs 4,000 off on oneplus 9, more deals"
