"","time","title"
"1","2021-08-25","why the hype around battery startup quantumscape is discharging"
"2","2021-08-03","qatar sovereign fund discloses 469 stake in gatesbacked battery startup quantumscape"
"3","2021-08-02","update 1qatar sovereign fund discloses 469 stake in quantumscape corp"
"4","2021-07-28","quantumscape soars after saying its testing new battery cells"
"5","2021-07-28","5 top stock gainers for wednesday tilray, boeing, alphabet and quantumscape"
